Time [ms];Mass flow rate [g/s]
0;0
0.0002;0.0338939949989
0.0004;0.0677859124763
0.0006;0.101675766942
0.0008;0.135563572869
0.0012;0.203333096807
0.0016;0.271094599315
0.002;0.338848194798
0.0024;0.40659399703
0.0028;0.474332119138
0.0032;0.542062673598
0.0036;0.609785772214
0.004;0.677501526111
0.0044;0.745210045722
0.0048;0.812911440776
0.0052;0.880605820283
0.0056;0.94829329253
0.006;1.01597396506
0.0064;1.08364794467
0.0068;1.15131533738
0.0072;1.21897624846
0.0076;1.28663078238
0.008;1.3542790428
0.0084;1.42192113261
0.0088;1.48955715384
0.0092;1.55683017298
0.0096;1.61477247008
0.01;1.65695641216
0.0104;1.68805004343
0.0108;1.71261748109
0.0112;1.73228181034
0.0116;1.74903861079
0.012;1.76359308392
0.0124;1.77648340994
0.0128;1.78811637162
0.0132;1.79834310401
0.0136;1.80781046821
0.014;1.81672767968
0.0144;1.82469859919
0.0148;1.83231153357
0.0152;1.83938494492
0.0156;1.84604103569
0.016;1.85233806827
0.0164;1.85829937159
0.0168;1.8639221069
0.0172;1.8693859634
0.0176;1.87442076594
0.018;1.8794560047
0.0184;1.88405569064
0.0188;1.88857639782
0.0192;1.89300051539
0.0196;1.89706925417
0.02;1.90113849867
0.0204;1.90506195944
0.0208;1.90873283645
0.0212;1.91240424171
0.0216;1.91597291793
0.022;1.91929203136
0.0224;1.92261168899
0.0228;1.92593188744
0.0232;1.92894449032
0.0236;1.93195217061
0.024;1.93496040137
0.0244;1.93784977768
0.0248;1.94057992455
0.0252;1.94331062675
0.0256;1.94604187955
0.026;1.94861963054
0.0264;1.95110273825
0.0268;1.95358639677
0.0272;1.95607060075
0.0276;1.95843394255
0.028;1.96069611154
0.0284;1.96295882218
0.0288;1.96522206856
0.0292;1.96744654314
0.0296;1.96951060132
0.03;1.97157518796
0.0304;1.97364029666
0.0308;1.97570592091
0.0312;1.97767027696
0.0316;1.97955676422
0.032;1.98144375639
0.0324;1.98333124652
0.0328;1.9852192276
0.0332;1.98700362922
0.0336;1.98873012289
0.034;1.99045709395
0.0344;1.99218453497
0.0348;1.99391243849
0.0352;1.9955800781
0.0356;1.99716207485
0.036;1.99874451802
0.0364;2.00032739979
0.0368;2.00191071225
0.0372;2.00349444746
