Time [ms];Mass flow rate [g/s]
0;0
0.0002;0.0347524874403
0.0004;0.0695029743774
0.0006;0.104251475817
0.0008;0.138998006723
0.001;0.173742582019
0.0012;0.208485216583
0.0014;0.243225925254
0.0016;0.277964722827
0.0018;0.312701624052
0.002;0.347436643636
0.0022;0.382169796244
0.0024;0.416901096494
0.0026;0.451630558959
0.0028;0.486358198167
0.003;0.521084028601
0.0032;0.555808064697
0.0034;0.590530320846
0.0036;0.625250811389
0.0038;0.659969550622
0.004;0.694686552794
0.0042;0.729401832103
0.0044;0.764115402701
0.0046;0.79882727869
0.0048;0.833537474124
0.005;0.868246003005
0.0052;0.902952879288
0.0054;0.937658116875
0.0056;0.972361729619
0.0058;1.00706373132
0.006;1.04176413573
0.0062;1.07646295655
0.0064;1.11116020741
0.0066;1.14585590192
0.0068;1.18055005362
0.007;1.21524267599
0.0072;1.24993378246
0.0074;1.28462338641
0.0076;1.31931150118
0.0078;1.35399814002
0.008;1.38868331615
0.0082;1.42336704274
0.0084;1.45804933288
0.0086;1.49273019963
0.0088;1.52740965597
0.009;1.56167858779
0.0092;1.59340907331
0.0094;1.62050589246
0.0096;1.64347841522
0.0098;1.66294115665
0.01;1.67954882894
0.0102;1.69396132789
0.0104;1.70674888492
0.0106;1.71836388186
0.0108;1.72862855732
0.011;1.73802239934
0.0112;1.74689767852
0.0114;1.75474826821
0.0116;1.76244919102
0.0118;1.76925997228
0.012;1.77596726483
0.0122;1.7821036246
0.0124;1.78796817767
0.0126;1.79369057617
0.0128;1.79883803223
0.013;1.80398549452
0.0132;1.80886410247
0.0134;1.81339910003
0.0136;1.81793413166
0.0138;1.82226927687
0.014;1.82627908821
0.0142;1.83028895682
0.0144;1.83429710415
0.0146;1.83785469195
0.0148;1.84141235637
0.015;1.84497009787
0.0152;1.84841450641
0.0154;1.85158116773
0.0156;1.85474792216
0.0158;1.85791476996
0.016;1.86100722146
0.0162;1.86383451878
0.0164;1.86666192273
0.0166;1.86948943343
0.0168;1.87231705099
0.017;1.87491583143
0.0172;1.87744747117
0.0174;1.87997922859
0.0176;1.88251110365
0.0178;1.88504309634
0.018;1.88733365719
0.0182;1.88960665765
0.0184;1.89187978453
0.0186;1.89415303768
0.0188;1.89642641693
0.019;1.89854583656
0.0192;1.90059174856
0.0194;1.90263779377
0.0196;1.90468397193
0.0198;1.90673028277
0.02;1.90877672601
0.0202;1.91062488857
0.0204;1.91247085181
0.0206;1.91431695304
0.0208;1.9161631919
0.021;1.91800956802
0.0212;1.91985608101
0.0214;1.92155218609
0.0216;1.92322140853
0.0218;1.92489077216
0.022;1.92656027652
0.0222;1.92822992115
0.0224;1.92989970557
0.0226;1.93153246655
0.0228;1.93304496483
0.023;1.93455760615
0.0232;1.93607038997
0.0234;1.93758331573
0.0236;1.93909638288
0.0238;1.94060959085
0.024;1.94210423925
0.0242;1.94347748647
0.0244;1.94485087679
0.0246;1.94622440958
0.0248;1.94759808421
0.025;1.94897190005
0.0252;1.95034585646
0.0254;1.95171995277
0.0256;1.95302895266
0.0258;1.95427814691
0.026;1.95552748248
0.0262;1.95677695865
0.0264;1.95802657473
0.0266;1.95927632999
0.0268;1.96052622371
0.027;1.96177625518
0.0272;1.96298383876
0.0274;1.96412209999
0.0276;1.96526049962
0.0278;1.96639903688
0.028;1.96753771098
0.0282;1.96867652114
0.0284;1.96981546657
0.0286;1.97095454647
0.0288;1.97209376004
0.029;1.97316362652
0.0292;1.97420256096
0.0294;1.97524162907
0.0296;1.97628082999
0.0298;1.97732016289
0.03;1.97835962691
0.0302;1.97939922119
0.0304;1.98043894486
0.0306;1.98147879706
0.0308;1.98247944481
0.031;1.98342910422
0.0312;1.98437889158
0.0314;1.985328806
0.0316;1.98627884655
0.0318;1.98722901233
0.032;1.98817930241
0.0322;1.98912971588
0.0324;1.9900802518
0.0326;1.99103090925
0.0328;1.99193337367
0.033;1.99280271893
0.0332;1.99367218462
0.0334;1.99454176979
0.0336;1.99541147347
0.0338;1.99628129467
0.034;1.99715123242
0.0342;1.99802128574
0.0344;1.99889145364
