#Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
100.00	60.000	717.19	0.0013943	-80.125	-71.759	3.3164	0.99124	2.1085	686.68	-0.019180	8.6046e-05	0.10927	liquid
100.67	60.000	713.79	0.0014010	-78.757	-70.351	3.3304	0.98884	2.1157	680.12	-0.018251	8.4506e-05	0.10809	liquid
101.33	60.000	710.35	0.0014078	-77.384	-68.938	3.3444	0.98647	2.1232	673.53	-0.017287	8.2999e-05	0.10691	liquid
102.00	60.000	706.88	0.0014147	-76.008	-67.520	3.3584	0.98415	2.1311	666.91	-0.016286	8.1526e-05	0.10574	liquid
102.67	60.000	703.37	0.0014217	-74.627	-66.096	3.3723	0.98188	2.1392	660.26	-0.015245	8.0085e-05	0.10457	liquid
103.33	60.000	699.84	0.0014289	-73.241	-64.667	3.3862	0.97965	2.1478	653.58	-0.014164	7.8674e-05	0.10341	liquid
104.00	60.000	696.26	0.0014362	-71.850	-63.232	3.4000	0.97747	2.1567	646.86	-0.013039	7.7292e-05	0.10224	liquid
104.67	60.000	692.66	0.0014437	-70.454	-61.791	3.4138	0.97534	2.1661	640.11	-0.011870	7.5937e-05	0.10109	liquid
105.33	60.000	689.01	0.0014514	-69.052	-60.344	3.4276	0.97325	2.1759	633.33	-0.010653	7.4609e-05	0.099933	liquid
106.00	60.000	685.33	0.0014592	-67.645	-58.890	3.4414	0.97122	2.1861	626.51	-0.0093866	7.3306e-05	0.098783	liquid
106.67	60.000	681.60	0.0014671	-66.232	-57.429	3.4551	0.96923	2.1969	619.65	-0.0080674	7.2027e-05	0.097635	liquid
107.33	60.000	677.84	0.0014753	-64.813	-55.961	3.4688	0.96729	2.2081	612.76	-0.0066930	7.0772e-05	0.096491	liquid
108.00	60.000	674.03	0.0014836	-63.387	-54.485	3.4825	0.96541	2.2199	605.82	-0.0052602	6.9538e-05	0.095350	liquid
108.67	60.000	670.17	0.0014922	-61.954	-53.001	3.4962	0.96358	2.2322	598.84	-0.0037659	6.8325e-05	0.094212	liquid
109.33	60.000	666.27	0.0015009	-60.514	-51.509	3.5099	0.96180	2.2451	591.83	-0.0022066	6.7133e-05	0.093078	liquid
110.00	60.000	662.31	0.0015099	-59.067	-50.007	3.5236	0.96008	2.2587	584.77	-0.00057865	6.5959e-05	0.091945	liquid
110.67	60.000	658.31	0.0015191	-57.611	-48.497	3.5373	0.95842	2.2729	577.66	0.0011220	6.4803e-05	0.090816	liquid
